Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64
09/24/2020 13:42:50;100;100;100;100;100;1.09600008;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;49.5;41.5;120;37;113;111;32;2347.82617;53.125;57.8125;48.4375;46.875;51.5625;56;57;55;56;58;3600.02466;3600.02466;3600.02466;3600.02466;30.4490929;24.4866;0;100.000679;60.099472;4.77609253;3.170887;37;731.612549;2505.58423;1463.2251;17;9;33;9;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:51;100;100;100;100;100;1.0480001;1.008;3.31200027;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;49;41.5;121;37;113;111;32;2347.82617;53.125;59.375;50;50;53.125;56;60;52;57;59;3600.02441;3600.02441;3600.02441;3600.02441;29.61281;23.641058;0;100.000679;60.0791168;4.774475;3.17250443;37;731.612549;2505.58423;1463.2251;18;9;33;8;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:52;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;49.5;41.5;120;37;114;111;32;2347.82617;62.5;56.25;54.6875;51.5625;56.25;55;60;53;54;61;3600.02515;3600.02515;3600.02515;3600.02515;30.9307957;24.85456;0;100.0007;60.03865;4.77125931;3.17572021;38;731.612549;2505.58423;1463.2251;23;11;33;11;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:53;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;50.5;41.5;120;37;114;111;32;2347.82617;57.8125;56.25;54.6875;62.5;57.8125;55;61;55;57;60;3600.025;3600.025;3600.025;3600.025;31.7317715;25.6230316;0;100.000694;60.0392723;4.771309;3.17567062;37;731.612549;2505.58423;1463.2251;23;11;33;11;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:54;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;48.5;41.5;120;37;113;111;32;2351.91626;57.8125;46.875;40.625;56.25;50.390625;53;58;52;55;58;3600.02441;1600.01086;3700.025;3600.02441;29.6416245;23.68551;0;100.000679;60.03793;4.771202;3.17577744;38;731.612549;2505.58423;1463.2251;11;6;33;5;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:55;100;100;100;100;100;1.072;1.008;3.31200027;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51;41.5;121;37;113;111;32;2339.688;68.75;68.75;75;71.875;71.09375;59;62;56;60;62;3600.02466;3600.02466;3600.02466;3600.02466;33.5121078;27.34644;0;100.000687;59.9179726;4.761669;3.18531036;37;731.612549;2505.58423;1463.2251;21;10;33;10;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:56;100;100;100;100;100;1.08;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;50;41.5;121;37;113;111;32;2331.6062;60.9375;57.8125;65.625;62.5;61.71875;55;59;53;56;58;3700.02441;3600.02368;3600.02368;3600.02368;31.7646179;25.6886921;0;100.000656;60.0570374;4.77272034;3.17425919;37;731.612549;2505.58423;1463.2251;19;10;33;7;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:57;100;100;100;100;100;1.08;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;50.5;41.5;120;37;113;111;32;2335.64014;60.9375;62.5;57.8125;65.625;61.71875;57;62;57;59;61;3600.02539;3600.02539;3600.02539;3600.02539;32.83531;26.71633;0;100.0007;60.03644;4.771084;3.17589569;37;731.612549;2505.58423;1463.2251;24;11;33;11;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:58;100;100;100;100;100;1.08;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;50.5;41.5;120;37;113;111;32;2351.91626;62.5;50;60.9375;48.4375;55.46875;54;57;50;54;57;3600.02563;1600.01147;1600.01147;3600.02563;30.6190567;24.60394;0;100.000717;60.0470543;4.771927;3.17505264;37;731.612549;2505.58423;1463.2251;22;11;33;9;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:42:59;100;100;100;100;100;1.0480001;1.008;3.328;3.328;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;49;41.5;121;37;113;111;32;2351.91626;57.8125;50;50;46.875;51.171875;59;60;52;56;59;3600.021;3600.021;3600.021;3600.021;29.599905;23.6770382;0;100.000587;60.0412941;4.771469;3.17551041;37;731.612549;2505.58423;1463.2251;16;8;33;7;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:00;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;48.5;41.5;120;37;113;111;32;2339.688;48.4375;37.5;46.875;56.25;47.265625;53;57;49;54;57;3600.028;1600.01245;1600.01245;3700.02881;28.6081944;22.71672;0;100.000778;60.0532455;4.772419;3.17456055;37;731.612549;2505.58423;1463.2251;18;9;33;6;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:01;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;50;41.5;120;37;113;111;32;2335.64014;67.1875;50;57.8125;54.6875;57.421875;58;61;52;58;60;3600.02271;3600.02271;3600.02271;3600.02271;32.03563;25.9783535;0;100.000633;60.01614;4.76947;3.17750931;37;731.612549;2505.58423;1463.2251;26;11;33;11;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
